Node List,Node Source
WNT5A,c2.cp.wikipathways.v2023.2.Hs.symbols
ATF6,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD9,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD3,c2.cp.wikipathways.v2023.2.Hs.symbols
IRS1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMA7,c2.cp.wikipathways.v2023.2.Hs.symbols
HSD17B10,c2.cp.wikipathways.v2023.2.Hs.symbols
CHRNA7,c2.cp.wikipathways.v2023.2.Hs.symbols
CYBB,c2.cp.wikipathways.v2023.2.Hs.symbols
CAPN2,c2.cp.wikipathways.v2023.2.Hs.symbols
APAF1,c2.cp.wikipathways.v2023.2.Hs.symbols
PLCB2,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP3CA,c2.cp.wikipathways.v2023.2.Hs.symbols
ATP2A3,c2.cp.wikipathways.v2023.2.Hs.symbols
ITPR3,c2.cp.wikipathways.v2023.2.Hs.symbols
CSF1,c2.cp.wikipathways.v2023.2.Hs.symbols
BACE1,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBB8,c2.cp.wikipathways.v2023.2.Hs.symbols
SLC25A6,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBB2B,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT10B,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD5,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBB2A,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBA1C,c2.cp.wikipathways.v2023.2.Hs.symbols
PIK3CB,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD2,c2.cp.wikipathways.v2023.2.Hs.symbols
CSNK2A3,c2.cp.wikipathways.v2023.2.Hs.symbols
PLCB3,c2.cp.wikipathways.v2023.2.Hs.symbols
KLC2,c2.cp.wikipathways.v2023.2.Hs.symbols
ATG101,c2.cp.wikipathways.v2023.2.Hs.symbols
CALML5,c2.cp.wikipathways.v2023.2.Hs.symbols
CACNA1F,c2.cp.wikipathways.v2023.2.Hs.symbols
CAPN1,c2.cp.wikipathways.v2023.2.Hs.symbols
FRAT2,c2.cp.wikipathways.v2023.2.Hs.symbols
ULK1,c2.cp.wikipathways.v2023.2.Hs.symbols
AMBRA1,c2.cp.wikipathways.v2023.2.Hs.symbols
INS,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT5B,c2.cp.wikipathways.v2023.2.Hs.symbols
WIPI2,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP3K5,c2.cp.wikipathways.v2023.2.Hs.symbols
KLC1,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT4,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBB4B,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMA4,c2.cp.wikipathways.v2023.2.Hs.symbols
SFRP4,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP3CC,c2.cp.wikipathways.v2023.2.Hs.symbols
LRP5,c2.cp.wikipathways.v2023.2.Hs.symbols
PIK3R3,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBB1,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMC4,c2.cp.wikipathways.v2023.2.Hs.symbols
ARAF,c2.cp.wikipathways.v2023.2.Hs.symbols
IL1A,c2.cp.wikipathways.v2023.2.Hs.symbols
INSR,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMC6,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP3R2,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBA4A,c2.cp.wikipathways.v2023.2.Hs.symbols
VDAC3,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMB7,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPK9,c2.cp.wikipathways.v2023.2.Hs.symbols
