Node List,Node Source
ISG20,h.all.v2023.2.Hs.symbols
HMGB2,h.all.v2023.2.Hs.symbols
AVPR1A,h.all.v2023.2.Hs.symbols
ERBB2,h.all.v2023.2.Hs.symbols
MMP2,h.all.v2023.2.Hs.symbols
DNAJA1,h.all.v2023.2.Hs.symbols
CAV1,h.all.v2023.2.Hs.symbols
PPP2R5B,h.all.v2023.2.Hs.symbols
BGN,h.all.v2023.2.Hs.symbols
PPT1,h.all.v2023.2.Hs.symbols
F2R,h.all.v2023.2.Hs.symbols
IFITM3,h.all.v2023.2.Hs.symbols
MADD,h.all.v2023.2.Hs.symbols
GSTM1,h.all.v2023.2.Hs.symbols
PLPPR4,h.all.v2023.2.Hs.symbols
IFNGR1,h.all.v2023.2.Hs.symbols
DPYD,h.all.v2023.2.Hs.symbols
BNIP3L,h.all.v2023.2.Hs.symbols
IFNB1,h.all.v2023.2.Hs.symbols
CTNNB1,h.all.v2023.2.Hs.symbols
DCN,h.all.v2023.2.Hs.symbols
ETF1,h.all.v2023.2.Hs.symbols
CDKN1B,h.all.v2023.2.Hs.symbols
